RM Location ID,RM Property ID,RM Name,RM Address,RM City,RM State,Sola ID,Sola Name,Sola Address,Sola City,Sola State,Matched?,Notes
1,7,Sola,"","","",,,,,,No,"Could not be matched because property in Rent Manager was missing street address, city or state."
2,8,Corporate,8520 Whitefish Circle,Fountain Valley,CA,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
2,9,Corona Hills,"390 N McKinley St
#116",Corona,CA,166,Corona,390 North McKinley St.,Corona,CA,Yes,Fuzzy match
3,1,1111 Partners LLC,765 14th St,Boulder,CO,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
3,2,"1111 CA, LLC","",San Francisco,CA,,,,,,No,"Could not be matched because property in Rent Manager was missing street address, city or state."
3,3,"1111 TN, LLC","",Nashville,TN,,,,,,No,"Could not be matched because property in Rent Manager was missing street address, city or state."
3,4,660 Market SF,660 Market Street,San Francisco,CA,55,San Francisco - Market Street,"660 Market Street, 2nd Floor",San Francisco,CA,Yes,Fuzzy match
3,5,Belle Meade,5133 Harding Pike,Nashville,TN,60,Nashville - Belle Meade,5133 Harding Pike,Nashville,TN,Yes,Perfect match
3,6,181 3rd,181 3rd,San Rafael,CA,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
3,7,Maryland Farms,"18 Cadillac Drive
Suite 400",Brentwood,CA,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
3,8,Burlingame,1209 Howard St,Burlingame,CA,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
3,11,1111 Holdings LLC,"","","",,,,,,No,"Could not be matched because property in Rent Manager was missing street address, city or state."
3,12,Administration,"","","",,,,,,No,"Could not be matched because property in Rent Manager was missing street address, city or state."
3,15,877 13TH ST,877 13TH ST,BOULDER,CO,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
3,16,Cool Springs,1731 Mallory Lance,Brentwood,TN,84,Cool Springs,"1731 Mallory Lane, Suite 100",Brentwood,TN,Yes,Fuzzy match
3,17,San Mateo,4060 S. El Camino Real,San Mateo,CA,85,San Mateo,"4060 S. El Camino Real, Suite 100",San Mateo,CA,Yes,Fuzzy match
3,18,Hendersonville,"","","",,,,,,No,"Could not be matched because property in Rent Manager was missing street address, city or state."
3,19,Williamson Sq Franklin,"1113 Murfreesboro Road, Suite 301",Franklin,TN,210,Williamson Square,1113 Murfreesboro Road,Franklin,TN,Yes,Fuzzy match
3,20,4th Ave Franklin (Landlord),249 4th Ave,Franklin,TN,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
